Foodcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
151004,鸡肉卷（肯德基）,,,,,,
151005,上校鸡块（肯德基）,,,,,,
151006,辣鸡翅（肯德基）,,,,,,
151007,新奥尔良鸡翅（肯德基）,,,,,,
151008,劲爆鸡米花（肯德基）,,,,,,
151009,甜玉米粒（肯德基）,,,,,,
151010,薯条（肯德基）,,,,,,
151011,比萨饼（夹奶酪）,4.8,2.4,1.6,0.8,,
151012,比萨饼（夹奶酪、肉和蔬菜）,6.3,1.9,3.2,1.2,,
151013,三明治（夹火腿、干酪）,,,,,,
151014,三明治（夹鸡蛋、干酪）,,,,,,
151015,三明治（夹鸡肉片、无调料酱）,14.9,4.6,5.7,4.6,,
151016,三明治（夹烤牛肉片）,8.7,2.6,4.9,1.2,,
151017,三明治（夹鱼肉片）,,,,,,
151018,干酪汉堡包（夹熏肉，加调料酱）,,,,,,
151019,干酪汉堡包（普通型，夹单层肉饼，无调料酱）,,,,,,
151020,干酪汉堡包（普通型，夹奶酪、单层肉饼，加调料酱）,10.9,5.3,4.6,1,,
151021,干酪汉堡包（普通型，夹奶酪、单层肉饼，加调料酱和蔬菜）,11.3,5.6,4.7,1,,
151022,干酪汉堡包（普通型，夹奶酪、双层肉饼、双层面包，加调料酱和蔬菜）,13.6,5.4,5.4,2.8,,
151023,汉堡包（普通型，夹肉饼，加调料酱和蔬菜）,,,,,,
151024,热狗（原味）,13.7,5,7,1.7,,
152105,早餐奶,2.9,1.8,0.8,0.1,,
152106,八宝粥（康师傅）,,,,,,
152107,八宝粥（亲亲牌）,,,,,,
152108,八宝粥（同茂牌）,,,,,,
152109,八宝粥（娃哈哈牌）,,,,,,
152110,八宝粥（无糖，娃哈哈牌）,,,,,,
152111,八宝粥（椰树牌）,,,,,,
152112,黑芝麻糊,,,,,,
152113,麦片,9.1,5.4,1.5,2.2,,
152114,麦片（原味香奶）,8.5,1.8,5.6,1,,
152115,燕麦片,9.1,2,5,2.1,,
152116,燕麦片（果仁，甜）,10.4,3.7,3.3,3.5,,
152117,苦荞麦片（无糖）,,,,,,
152118,玉米片,,,,,,
152119,玉米片（低钠）,,,,,,
152202,鸡汁味干脆面（面饼+调味料）,23.8,12.7,8.9,2.2,,
152203,海鲜味方便面（面饼+调味料+油料）,17,2.3,10.3,4.3,,
152204,海鲜味方便面（面饼+调味料）,,,,,,
152205,油料（海鲜味方便面）,,,,,,
152206,红烧牛肉方便面（面饼+调味料+蔬菜+肉酱）,15.8,9.9,5.1,0.8,,
152207,红烧牛肉方便面（面饼+调味料+蔬菜）,,,,,,
152208,肉酱（红烧牛肉方便面）,,,,,,
152209,鳕鱼方便面（面饼+调味料+珍料+调味油+蔬菜）,21.4,13.5,7,0.9,,
152210,鳕鱼方便面（面饼+调味料+蔬菜）,,,,,,
152211,油酱料（珍料+调味油料，鳕鱼方便面）,,,,,,
152212,铁板牛肉炒面（面饼+汤料+蔬菜+调味酱）,16.6,10.1,5.7,0.9,,
152213,铁板牛肉炒面（面饼+汤料+蔬菜）,,,,,,
